Vegetarian menu
Breakfast,"soup","Cabbage Soup", "A hearty soup made with cabbage, beans, and a blend of vegetables in a savory broth"
Lunch,"normalMenu","BLT Sandwich", "A classic sandwich made with crispy bacon, lettuce, tomato, and mayonnaise on toasted bread."
Dinner,"dessert", "Red Velvet Cake", "A moist and fluffy red velvet cake with a cream cheese frosting"

Flexitarian menu
Breakfast,"soup","Wild Mushroom Soup", "A rich and creamy soup made with a variety of wild mushrooms and herbs"
Lunch,"normalMenu","Grilled Chicken Sandwich", "Grilled chicken breast served on a bun with lettuce, tomato, and mayonnaise."
Dinner,"dessert", "Red Velvet Cake", "A moist and fluffy red velvet cake with a cream cheese frosting"

Anything menu
Breakfast,"soup","Cabbage Soup", "A hearty soup made with cabbage, beans, and a blend of vegetables in a savory broth"
Lunch,"normalMenu","Grilled Chicken Sandwich", "Grilled chicken breast served on a bun with lettuce, tomato, and mayonnaise."
Dinner,"dessert", "Caramel Apple Pie", "A flaky pie crust filled with sliced apples and a gooey caramel sauce"

