"normalMenu","Burger cu brânză", "Pâte de carne de vită prăjită servită pe un covrig pârlit cu brânză cheddar, salată, roşii şi castraveţi muraţi."
"normalMenu","Sandviş de pui la grătar", "Piept de pui la grătar servit pe un covrig cu salată, roşii şi maioneză."
"normalMenu","Pizza", "Pizza clasică acoperită cu sos de roşii, brânză şi o varietate de carne şi legume."
"normalMenu","Spaghetti şi chiftele", "Mămăligă de spaghetti amestecată cu chiftele savuroase şi sos marinara."
"normalMenu","Pui prăjit", "Pui prăjit crocant servit cu o parte de piure de cartofi şi sos de carne."
"normalMenu","Sandviş BLT", "Un sandviş clasic făcut din slănină prăjită, salată, roşii şi maioneză pe pâine prăjită."
"normalMenu","Sandviş de brânză la grătar", "Brânză topită între două felii de pâine prăjită."
"normalMenu","Salată taco", "O salată bogată făcută din carne tocată condimentată, fasole, brânză şi o varietate de topping-uri servite într-o coajă de taco crocantă."
"normalMenu","Salată Caesar cu pui", "O salată Caesar clasică acoperită cu pui la grătar şi crutoane."
"normalMenu","Stir-fry", "O varietate de legume şi proteine fierte cu o alegere de sos, servite peste orez."
